ID	Note Type	Time Appear	Duration	ItemID	NodeID
0	Single	2.990625	0	0	0
1	Single	3.419792	0	0	0
2	Single	5.5625	0	0	0
3	Single	5.990625	0	0	0
4	Single	6.848958	0	0	0
5	Single	8.134376	0	0	0
6	Single	9.419792	0	0	0
7	Single	10.27708	0	0	0
8	Single	11.13438	0	0	0
9	Single	13.27708	0	0	0
10	Single	13.70625	0	0	0
11	Single	15.84896	0	0	0
12	Single	16.27708	0	0	0
13	Single	17.13438	0	0	0
14	Single	17.5625	0	0	0
15	Single	18.41979	0	0	0
16	Single	18.41979	0	0	0
17	Single	18.84896	0	0	0
18	Single	19.70625	0	0	0
19	Single	20.5625	0	0	0
20	Single	21.41979	0	0	0
21	Single	22.27708	0	0	0
22	Single	22.70625	0	0	0
23	Single	23.5625	0	0	0
24	Single	23.99063	0	0	0
25	Single	24.84896	0	0	0
26	Single	25.27708	0	0	0
27	Single	26.13438	0	0	0
28	Single	26.5625	0	0	0
29	Single	27.41979	0	0	0
30	Single	27.84896	0	0	0
31	Single	28.70625	0	0	0
32	Single	29.99063	0	0	0
33	Single	30.84896	0	0	0
34	Single	31.70625	0	0	0
35	Single	33.84896	0	0	0
36	Single	34.27708	0	0	0
37	Single	36.41979	0	0	0
38	Single	36.41979	0	0	0
39	Single	36.84896	0	0	0
40	Single	37.70625	0	0	0
41	Single	38.99063	0	0	0
42	Single	40.27708	0	0	0
43	Single	41.13438	0	0	0
44	Single	41.99063	0	0	0
45	Single	44.13438	0	0	0
46	Single	44.5625	0	0	0
47	Single	46.70625	0	0	0
48	Single	47.13438	0	0	0
49	Single	47.99063	0	0	0
50	Single	48.4198	0	0	0
51	Single	49.27708	0	0	0
52	Single	49.70625	0	0	0
53	Single	50.5625	0	0	0
54	Single	50.99063	0	0	0
55	Single	51.4198	0	0	0
56	Single	51.84896	0	0	0
57	Single	52.27708	0	0	0
58	Single	53.13438	0	0	0
59	Single	53.5625	0	0	0
60	Single	54.4198	0	0	0
61	Single	54.84896	0	0	0
62	Single	55.70625	0	0	0
63	Single	56.13438	0	0	0
64	Single	56.99063	0	0	0
65	Single	57.4198	0	0	0
66	Single	58.27709	0	0	0
67	Single	58.70625	0	0	0
68	Single	59.5625	0	0	0
69	Single	60.84896	0	0	0
70	Single	61.27709	0	0	0
71	Single	61.70625	0	0	0
72	Single	62.13438	0	0	0
73	Single	62.5625	0	0	0
74	Single	64.70625	0	0	0
75	Single	65.13438	0	0	0
76	Single	65.13438	0	0	0
77	Single	67.27708	0	0	0
78	Single	67.70625	0	0	0
79	Single	68.5625	0	0	0
80	Single	69.84792	0	0	0
81	Single	71.13438	0	0	0
82	Single	71.5625	0	0	0
83	Single	71.99063	0	0	0
84	Single	72.41979	0	0	0
85	Single	72.84792	0	0	0
86	Single	74.99063	0	0	0
87	Single	75.41979	0	0	0
88	Single	77.56251	0	0	0
89	Single	77.99063	0	0	0
90	Single	78.84792	0	0	0
91	Single	79.27708	0	0	0
92	Single	80.13438	0	0	0
93	Single	80.56251	0	0	0
94	Single	80.98959	0	0	0
95	Single	81.41979	0	0	0
96	Single	81.84792	0	0	0
