ID	Note Type	Time Appear	Duration	ItemID	NodeID
0	Single	2.570833	0	0	0
1	Single	3	0	0	0
2	Single	3.429167	0	0	0
3	Single	3.857292	0	0	0
4	Single	4.286458	0	0	0
5	Single	4.713542	0	0	0
6	Single	5.142709	0	0	0
7	Single	6.857292	0	0	0
8	Single	7.5	0	0	0
9	Single	7.929167	0	0	0
10	Single	8.357292	0	0	0
11	Single	10.28646	0	0	0
12	Single	10.5	0	0	0
13	Single	10.92917	0	0	0
14	Single	11.35729	0	0	0
15	Single	11.78646	0	0	0
16	Single	12.21354	0	0	0
17	Single	13.28646	0	0	0
18	Single	13.71354	0	0	0
19	Single	14.35729	0	0	0
20	Single	14.78646	0	0	0
21	Single	15.21354	0	0	0
22	Single	17.14271	0	0	0
23	Single	17.35729	0	0	0
24	Single	17.78646	0	0	0
25	Single	18.21354	0	0	0
26	Single	18.64271	0	0	0
27	Single	19.07084	0	0	0
28	Single	19.5	0	0	0
29	Single	20.57084	0	0	0
30	Single	21.21354	0	0	0
31	Single	21.64271	0	0	0
32	Single	22.07084	0	0	0
33	Single	24	0	0	0
34	Single	24.21354	0	0	0
35	Single	24.64271	0	0	0
36	Single	25.07084	0	0	0
37	Single	25.5	0	0	0
38	Single	25.92917	0	0	0
39	Single	27	0	0	0
40	Single	27.42813	0	0	0
41	Single	28.07084	0	0	0
42	Single	28.5	0	0	0
43	Single	28.92813	0	0	0
44	Single	30.85729	0	0	0
45	Single	31.07084	0	0	0
46	Single	31.5	0	0	0
47	Single	31.92813	0	0	0
48	Single	32.35729	0	0	0
49	Single	32.78646	0	0	0
50	Single	33.21354	0	0	0
51	Single	34.28646	0	0	0
52	Single	34.71354	0	0	0
53	Single	35.14271	0	0	0
54	Single	35.35729	0	0	0
55	Single	35.78646	0	0	0
56	Single	36.21354	0	0	0
57	Single	36.85729	0	0	0
58	Single	37.28646	0	0	0
59	Single	37.71354	0	0	0
60	Single	38.14271	0	0	0
61	Single	38.57084	0	0	0
62	Single	38.78646	0	0	0
63	Single	39.21354	0	0	0
64	Single	39.64271	0	0	0
65	Single	40.28646	0	0	0
66	Single	40.71354	0	0	0
67	Single	41.14271	0	0	0
68	Single	41.57084	0	0	0
69	Single	42	0	0	0
70	Single	42.21354	0	0	0
71	Single	42.64271	0	0	0
72	Single	43.07084	0	0	0
73	Single	43.71354	0	0	0
74	Single	44.14271	0	0	0
75	Single	44.57084	0	0	0
76	Single	45	0	0	0
77	Single	45.64271	0	0	0
78	Single	45.85729	0	0	0
79	Single	46.28646	0	0	0
80	Single	46.5	0	0	0
81	Single	46.71354	0	0	0
82	Single	46.92813	0	0	0
83	Single	47.14271	0	0	0
84	Single	48	0	0	0
85	Single	48.64271	0	0	0
86	Single	49.07084	0	0	0
87	Single	49.5	0	0	0
88	Single	51.42813	0	0	0
89	Single	51.64271	0	0	0
90	Single	52.07084	0	0	0
91	Single	52.5	0	0	0
92	Single	52.92813	0	0	0
93	Single	53.3573	0	0	0
94	Single	54.42813	0	0	0
95	Single	54.8573	0	0	0
96	Single	55.5	0	0	0
97	Single	55.92813	0	0	0
98	Single	56.3573	0	0	0
99	Single	58.28646	0	0	0
100	Single	58.5	0	0	0
101	Single	58.92813	0	0	0
102	Single	59.3573	0	0	0
103	Single	59.78646	0	0	0
104	Single	60.21354	0	0	0
105	Single	60.64271	0	0	0
106	Single	61.71355	0	0	0
107	Single	62.3573	0	0	0
108	Single	62.78646	0	0	0
109	Single	63.21355	0	0	0
110	Single	65.14272	0	0	0
111	Single	65.35729	0	0	0
112	Single	65.78646	0	0	0
113	Single	66.21355	0	0	0
114	Single	66.64272	0	0	0
115	Single	67.07084	0	0	0
116	Single	68.14272	0	0	0
117	Single	68.57084	0	0	0
118	Single	69.21355	0	0	0
119	Single	69.64272	0	0	0
120	Single	70.07084	0	0	0
121	Single	72	0	0	0
122	Single	72.21355	0	0	0
123	Single	72.64272	0	0	0
124	Single	73.07084	0	0	0
